DIRC3	3.44573505200469e-12
PLIN5	4.35402845486706e-12
KCNIP2	2.94029829782456e-11
PDE3B	4.38094306136117e-10
AQP7	5.92426258105841e-10
PFKFB1	1.62700682196934e-09
CIDEA	2.66468442046295e-09
SIK2	4.67816397638262e-09
PTGER3	7.16966874667719e-09
GYG2	9.81720652742332e-09
PLIN1	1.18766006978854e-08
ACVR1C	1.99826115363806e-08
SORBS1	3.36404672147564e-08
AGBL4	4.85516209330633e-08
PLIN4	8.08179811959279e-08
MGEA5	8.37292577411543e-08
FAM13A	8.55971993851335e-08
PNPLA2	8.8980864343582e-08
PRKAR2B	1.49004829090681e-07
GPD1	1.67050903548623e-07
CD36	2.09761874943063e-07
MOGAT1	2.23875669113838e-07
NIPSNAP3B	2.53340978427276e-07
RANBP17	3.06631324190226e-07
ADIPOQ	4.38005598450524e-07
TNFAIP8	5.08083695708471e-07
ACACB	5.50116080471266e-07
PLA2G16	7.89550777739192e-07
GPAM	8.07286368383202e-07
AQPEP	2.11579113540474e-06
RNF150	2.30103021693907e-06
ANKRD30A	2.3262159993817e-06
PFKFB3	2.39827123585977e-06
C2CD2	2.8053028501653e-06
GHR	4.2678490876662e-06
ADRA1A	5.67104563082672e-06
LPL	6.12264265846916e-06
APOL6	7.2105461614658e-06
PECR	7.86050913022566e-06
PALMD	1.64566875847987e-05
IRS2	2.03176963472694e-05
DMD	2.39365768521903e-05
PPARG	2.97736007483303e-05
PC	5.15127359022873e-05
LRIG1	5.15440158035967e-05
CTIF	5.56020579865271e-05
SLC19A3	6.46305338431194e-05
FAM49B	8.65805880011519e-05
ACSS2	9.02695081025342e-05
BTD	0.00010148457656462
ZNF117	0.0001076856669635
FABP4	0.00013896565766931
C10ORF10	0.00024416902529376
CAT	0.00043479308345159
ADH1B	0.00166789242274616
SLC27A1	0.00219259817451836
WDPCP	0.00226526076686987
BCKDHB	0.00236420101455263
C6	0.00287889976454601
AIG1	0.00370232546218304
PLXNA4	0.00480086416025215
MARK4	0.00974578846144338
MACROD2	0.0108631690442721
ARHGEF6	0.0123414302992457
